Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Inflight Entertainment,Recommended
A320,Couple Leisure,Business Class,Other,Other,1,3,1,1,1,5,0
A320,Business,Business Class,Other,Other,2,2,2,1,2,5,0
Not available,Couple Leisure,Economy Class,Other,Other,3,3,3,1,1,3,0
Not available,Business,Business Class,London to Johannesburg,Other,3,2,3,2,1,2,0
Other,Couple Leisure,Business Class,Other,Other,4,5,3,5,4,5,1
Not available,Family Leisure,Economy Class,Other,Other,1,1,3,1,1,2,0
Not available,Solo Leisure,Economy Class,Other,Other,3,3,3,5,1,4,0
Other,Solo Leisure,Business Class,Other,Other,3,3,1,3,1,5,1
A380,Family Leisure,Economy Class,Other,Other,4,5,3,1,4,2,1
A380,Family Leisure,Business Class,Other,Other,4,5,5,4,4,5,1
Not available,Family Leisure,Economy Class,Other,Other,1,1,1,1,1,1,0
Other,Couple Leisure,Economy Class,Other,Other,4,4,3,5,5,1,1
Not available,Solo Leisure,Economy Class,Other,Other,3,3,3,1,2,5,0
Other,Business,Economy Class,Other,Other,3,5,4,1,1,5,0
Other,Business,Economy Class,Other,Other,3,3,1,1,1,1,0
Not available,Solo Leisure,Economy Class,Other,Other,3,3,3,1,1,2,0
Boeing 777,Solo Leisure,Business Class,London to Hong Kong,Other,5,5,5,5,5,5,1
Not available,Couple Leisure,Economy Class,Other,Other,3,3,1,1,1,4,0
Other,Couple Leisure,Business Class,Other,Other,4,5,5,4,4,3,1
A320,Couple Leisure,Business Class,Other,Other,3,5,4,2,3,1,1
Not available,Solo Leisure,Economy Class,Other,Other,1,1,3,1,1,5,0
A321,Family Leisure,Business Class,Other,Other,1,1,3,1,1,1,0
Not available,Family Leisure,Economy Class,Other,Other,2,3,1,1,2,1,0
Not available,Family Leisure,Economy Class,Other,Other,1,4,1,1,1,1,0
Not available,Couple Leisure,Premium Economy,Other,Other,3,3,3,5,1,2,0
Other,Business,Economy Class,Other,Other,3,4,3,1,2,3,0
A320,Couple Leisure,Business Class,Other,Other,3,5,4,5,3,3,0
Boeing 787,Solo Leisure,Economy Class,Other,Other,2,2,1,3,3,3,0
A320,Couple Leisure,Economy Class,Other,Other,1,1,1,1,1,2,0
Not available,Family Leisure,Business Class,Other,Other,1,1,3,1,1,4,0
Other,Family Leisure,Business Class,Other,Other,4,5,4,4,4,3,1
A380,Solo Leisure,Business Class,Other,Other,1,1,1,1,1,4,0
Other,Solo Leisure,Economy Class,Other,Other,3,1,1,4,3,1,0
Boeing 777,Couple Leisure,Premium Economy,Other,Other,3,2,1,4,1,1,0
Other,Couple Leisure,Economy Class,Other,Other,2,2,3,1,1,3,0
Not available,Solo Leisure,Economy Class,Other,Other,2,5,3,1,2,3,0
Other,Family Leisure,Premium Economy,Other,Other,5,4,4,3,3,3,0
Boeing 777-200,Couple Leisure,Economy Class,Other,Other,1,3,1,3,2,3,0
Not available,Couple Leisure,Economy Class,Other,Other,3,3,3,1,1,1,0
A380,Business,Business Class,Other,Other,3,3,3,1,1,3,0
